PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
25416802,In silico prediction of splice-altering single nucleotide variants in the human genome,"Jian X, Boerwinkle E, Liu X.",Nucleic Acids Res. 2014 Dec 16;42(22):13534-44. doi: 10.1093/nar/gku1206.,Jian X,Nucleic Acids Res,2014,23/11/2014,PMC4267638,,10.1093/nar/gku1206
25519362,"Genetic Analysis Workshop 18 single-nucleotide variant prioritization based on protein impact, sequence conservation, and gene annotation","Nalpathamkalam T, Derkach A, Paterson AD, Merico D.",BMC Proc. 2014 Jun 17;8(Suppl 1 Genetic Analysis Workshop 18Vanessa Olmo):S11. doi: 10.1186/1753-6561-8-S1-S11. eCollection 2014.,Nalpathamkalam T,BMC Proc,2014,19/12/2014,PMC4143669,,10.1186/1753-6561-8-S1-S11
25552646,Comparison and integration of deleteriousness prediction methods for nonsynonymous SNVs in whole exome sequencing studies,"Dong C, Wei P, Jian X, Gibbs R, Boerwinkle E, Wang K, Liu X.",Hum Mol Genet. 2015 Apr 15;24(8):2125-37. doi: 10.1093/hmg/ddu733. Epub 2014 Dec 30.,Dong C,Hum Mol Genet,2015,02/01/2015,PMC4375422,,10.1093/hmg/ddu733
25684150,The evaluation of tools used to predict the impact of missense variants is hindered by two types of circularity,"Grimm DG, Azencott CA, Aicheler F, Gieraths U, MacArthur DG, Samocha KE, Cooper DN, Stenson PD, Daly MJ, Smoller JW, Duncan LE, Borgwardt KM.",Hum Mutat. 2015 May;36(5):513-23. doi: 10.1002/humu.22768. Epub 2015 Mar 26.,Grimm DG,Hum Mutat,2015,17/02/2015,PMC4409520,NIHMS665490,10.1002/humu.22768
26269570,Comparison of predicted and actual consequences of missense mutations,"Miosge LA, Field MA, Sontani Y, Cho V, Johnson S, Palkova A, Balakishnan B, Liang R, Zhang Y, Lyon S, Beutler B, Whittle B, Bertram EM, Enders A, Goodnow CC, Andrews TD.",Proc Natl Acad Sci U S A. 2015 Sep 15;112(37):E5189-98. doi: 10.1073/pnas.1511585112. Epub 2015 Aug 12.,Miosge LA,Proc Natl Acad Sci U S A,2015,14/08/2015,PMC4577149,,10.1073/pnas.1511585112
26306152,"In silico Evaluation of Nonsynonymous Single Nucleotide Polymorphisms in the ADIPOQ Gene Associated with Diabetes, Obesity, and Inflammation","Narayana Swamy A, Valasala H, Kamma S.",Avicenna J Med Biotechnol. 2015 Jul-Sep;7(3):121-7.,Narayana Swamy A,Avicenna J Med Biotechnol,2015,26/08/2015,PMC4508335,,
26761715,Exonic Splicing Mutations Are More Prevalent than Currently Estimated and Can Be Predicted by Using In Silico Tools,"Soukarieh O, Gaildrat P, Hamieh M, Drouet A, Baert-Desurmont S, Frébourg T, Tosi M, Martins A.",PLoS Genet. 2016 Jan 13;12(1):e1005756. doi: 10.1371/journal.pgen.1005756. eCollection 2016 Jan.,Soukarieh O,PLoS Genet,2016,14/01/2016,PMC4711968,,10.1371/journal.pgen.1005756
26800850,Prediction of functionally significant single nucleotide polymorphisms in PTEN tumor suppressor gene: An in silico approach,"Khan I, Ansari IA, Singh P, Dass J FP.",Biotechnol Appl Biochem. 2017 Sep;64(5):657-666. doi: 10.1002/bab.1483. Epub 2017 Aug 23.,Khan I,Biotechnol Appl Biochem,2017,24/01/2016,,,10.1002/bab.1483
27147545,Comparison of pathogenicity prediction tools on missense variants in RYR1 and CACNA1S associated with malignant hyperthermia,"Schiemann AH, Stowell KM.",Br J Anaesth. 2016 Jul;117(1):124-8. doi: 10.1093/bja/aew065. Epub 2016 May 4.,Schiemann AH,Br J Anaesth,2016,06/05/2016,PMC4913391,,10.1093/bja/aew065
27313609,Evaluation of Bioinformatic Programmes for the Analysis of Variants within Splice Site Consensus Regions,"Tang R, Prosser DO, Love DR.",Adv Bioinformatics. 2016;2016:5614058. doi: 10.1155/2016/5614058. Epub 2016 May 24.,Tang R,Adv Bioinformatics,2016,18/06/2016,PMC4894998,,10.1155/2016/5614058
